id,pNumber,mNumber,alpha,beta
IPI00221613.5,5.94477681e6,102.88,8.02,1941.76
IPI00223757.4;IPI00653019.1;IPI00754943.1,5.26984106e6,,4.9,
IPI00111412.3,6.42397315e6,535.67,34.91,336.88
IPI00319231.4;IPI00831483.1;IPI00755989.2;IPI00850964.1;IPI00653962.1;IPI00659112.1;IPI00673173.1,5.01645792e6,793.39,42.71,164.94
IPI00230388.5,2.33894895e6,53.06,6.44,1280.49
IPI00880400.1;IPI00318492.11;IPI00882003.1;IPI00604967.3;IPI00752723.1;IPI00606379.2;IPI00606508.1;IPI00605141.2;IPI00380130.2;IPI00875177.1;IPI00658614.1;IPI00849155.1,5.97031694e6,,,
IPI00129685.2,7.49001424e6,307.89,14.8,1007.68
IPI00224575.1;IPI00223253.1;IPI00761237.2;IPI00458719.1,6.22660794e6,200.87,18.09,1100.23
IPI00322749.3;IPI00849587.1;IPI00848439.1,4.36360643e6,41.76,4.38,2766.39
IPI00222548.5;IPI00849550.1;IPI00662684.1;IPI00762791.2;IPI00849107.1;IPI00850143.1;IPI00849210.1;IPI00849245.1;IPI00850168.1;IPI00461500.1;IPI00874437.1;IPI00850140.1;IPI00350329.7;IPI00676157.2;IPI00752952.1;IPI00381643.3;IPI00849542.1;IPI00757474.2;IPI00270333.1;IPI00676715.5;IPI00381494.5;IPI00849228.1,3.5369574e6,,,
IPI00113655.1;IPI00955359.1;IPI00108454.2;IPI00474622.1;IPI00672455.1;IPI00671512.3;IPI00875868.1;IPI00122040.1,4.99011156e6,,,
IPI00230108.6,6.23722693e6,159.36,7.85,1232.02
IPI00135686.2;IPI00460855.1,5.62392023e6,169.55,10.85,1229.35
IPI00113870.1;IPI00848977.1;IPI00473170.1;IPI00850755.1;IPI00402816.4;IPI00850078.2,5.39625162e6,206.43,17.97,840.78
IPI00133522.1;IPI00122815.3;IPI00885695.1,5.90944262e6,,,
IPI00113377.1;IPI00134920.3;IPI00756019.1;IPI00752767.1;IPI00379348.1;IPI00669896.1;IPI00849468.1;IPI00346206.1;IPI00753497.1;IPI00345943.4;IPI00378914.1;IPI00379482.4,5.88377499e6,1671.28,78.33,105.35
IPI00114285.1;IPI00459308.2;IPI00880872.1,3.7768284e6,157.28,12.43,661.81
IPI00755309.1;IPI00321170.8;IPI00754487.1;IPI00753623.1;IPI00605077.1;IPI00849994.1;IPI00751485.1;IPI00849816.1;IPI00754157.1;IPI00850098.1;IPI00848821.1;IPI00458105.2;IPI00944079.1;IPI00131793.3,4.418777e6,,,
IPI00399483.1,3.70184015e6,,,
IPI00162790.1;IPI00880213.1;IPI00807971.1;IPI00850871.1;IPI00281245.2,4.14727697e6,18.12,0.97,6465.83
IPI00224784.4;IPI00625829.2;IPI00848506.1;IPI00406841.1,4.9155559e6,,43.03,
IPI00112448.1;IPI00830211.1;IPI00762525.2;IPI00622897.3,5.12042999e6,,10.9,
IPI00468481.2,6.81901418e6,394.35,23.23,459.47
IPI00127707.1;IPI00221799.1,4.246976e6,,,
IPI00323806.4;IPI00762051.1;IPI00880689.1;IPI00134202.4;IPI00622333.2,4.85076275e6,,,
IPI00121079.3;IPI00759904.1;IPI00110885.2,5.02344146e6,169.08,9.89,809.89
IPI00466153.4;IPI00621625.1;IPI00460103.1;IPI00848921.1,3.97598504e6,,,
IPI00110588.4;,4.25079686e6,164.18,10.58,837.33
IPI00555023.2;IPI00283531.8;IPI00408829.4;IPI00121525.1,6.5733379e6,405.77,22.16,421.15
IPI00273803.4;IPI00473532.1;IPI00874692.1;IPI00850320.1;IPI00756180.1;IPI00762221.2;IPI00667252.1;IPI00462237.4;IPI00379391.2;IPI00856349.1;IPI00664804.1;IPI00553627.3,4.47389204e6,6.3,0.61,20242.96
IPI00115620.1;IPI00849478.1;IPI00918511.1;IPI00848485.1;IPI00918735.1,4.62721812e6,188.75,13.83,830.32
IPI00115650.4,3.90592036e6,78.88,7.17,1646.87
IPI00123181.4;IPI00473597.1;IPI00830632.1;IPI00776379.1;IPI00337900.1;IPI00856780.1;IPI00132519.4;IPI00853998.1,4.81184752e6,378.13,24.71,445.11
IPI00263863.8;IPI00120045.1;IPI00677499.1,3.61334172e6,73.62,8.86,1331.66
IPI00116281.3,4.39799716e6,156.59,12.75,871.38
IPI00467833.6,4.51716894e6,147.79,8.94,819.6
IPI00877279.1;IPI00132722.8;IPI00653565.1,4.11321012e6,103.36,8.63,1299.17
IPI00317740.5,5.34420209e6,754.79,43.72,232.54
IPI00230264.5,6.09629617e6,9.95,1.5,19460.94
IPI00225961.5;IPI00885925.1;IPI00459364.3,3.59510822e6,84.37,5.13,1325.25
IPI00471475.1;IPI00471476.1;IPI00471478.1,3.26911676e6,70.31,3.07,2155.29
IPI00228645.5;IPI00845675.1,4.48032881e6,360.19,27.77,339.26
IPI00133440.1;IPI00649084.1;IPI00876224.1;IPI00890014.1;IPI00126917.1,3.08340522e6,28.87,2.59,3247.15
IPI00226993.5,3.6620161e6,172.49,14.88,647.13
IPI00622235.5,4.55542512e6,,,
IPI00129526.1;IPI00652998.1;IPI00830494.1,4.63351169e6,228.74,11.66,593.34
IPI00330000.4;IPI00272033.3,2.47989357e6,,,
IPI00317794.5,4.69379919e6,98.73,4.88,1394.12
IPI00111560.3;IPI00850678.1;IPI00755843.1;IPI00347814.2;IPI00754518.1;IPI00406502.1;IPI00849165.1,4.72195094e6,35.71,3.08,3505.8
IPI00330804.4;IPI00928340.1;IPI00928057.1;IPI00830977.2,4.79175238e6,274.96,21.7,489.65
IPI00130883.1;IPI00378187.2,2.48550949e6,72.67,6.16,1507.41
IPI00123281.1;IPI00653744.1,5.14968408e6,160.13,9.54,1073.33
IPI00555059.2;IPI00756385.1,4.05853204e6,,,
IPI00853924.1;IPI00408378.4;IPI00656269.1;IPI00754545.2,3.07936174e6,29.69,2.5,3168.43
IPI00222555.5,3.4568629e6,436.84,37.47,271.23
IPI00127942.4,3.72704412e6,158.22,12.78,824.08
IPI00137730.7;IPI00858116.1;IPI00340165.5;IPI00856331.1;IPI00117893.2;IPI00409959.1,4.192354e6,167.35,10.32,648.8
IPI00130280.1;IPI00857439.1;IPI00857316.1,4.1644325e6,126.54,7.31,833.82
IPI00116283.1,3.43003856e6,246.99,17.71,445.46
IPI00124692.1,2.45241641e6,,,
IPI00137736.1;IPI00719947.2;IPI00849074.1;IPI00458881.2;IPI00623913.1;IPI00850904.1;IPI00622152.1;IPI00664934.1,3.72050531e6,,,
IPI00131406.1;IPI00109122.1;IPI00922953.1,3.36800013e6,191.06,12.08,501.6
IPI00119884.1,4.53404315e6,330.02,26.69,649.97
IPI00117829.1;IPI00857970.1;IPI00760070.1;IPI00856199.1;IPI00124974.1,3.38419026e6,97.47,8.37,
IPI00475378.4;IPI00136883.3;IPI00463516.2;IPI00318019.1;IPI00649397.1,3.73881317e6,130.7,10.65,900.38
IPI00116279.3;IPI00886090.1,2.99660624e6,372.99,26.92,281.52
IPI00321978.3;IPI00858118.1,3.01826032e6,127.67,13.33,713.14
IPI00353563.4;IPI00857496.1;IPI00857030.1;IPI00857204.1;IPI00857353.1,2.93255649e6,136,9.03,605.58
IPI00857575.2;IPI00115862.1;IPI00857982.1;IPI00918455.1;IPI00918222.1,2.48534042e6,133.65,10.81,689.32
IPI00113141.1,3.362983e6,80.96,4.77,1079.68
IPI00128945.1,2.71198785e6,108.59,8.37,680.94
IPI00117146.1;IPI00881727.1;IPI00881849.1,1.92354911e6,27.18,2.1,1881.51
IPI00108189.4;IPI00880795.1,2.67488198e6,238.03,17.13,306.75
IPI00138691.6;IPI00955134.1;IPI00955128.1,2.31801378e6,45.74,2.99,1562.82
IPI00119220.1;IPI00125265.1;IPI00660581.1;IPI00605628.1;IPI00116535.1,2.44041237e6,204.02,12.63,329.42
IPI00222419.5;IPI00265239.1;IPI00849673.1;P00004;IPI00230033.9,2.48959797e6,,,
IPI00626233.3;IPI00453768.4;IPI00849652.6;IPI00468667.4;IPI00755857.3;IPI00853832.1;IPI00761421.2;IPI00848671.1;IPI00850068.1;IPI00848802.1;IPI00753292.3;IPI00849377.1;IPI00849522.1;IPI00853989.1;IPI00875351.2;IPI00848437.1;IPI00461292.4;IPI00849660.1;IPI00108337.5;IPI00849736.1;IPI00848659.1;IPI00752389.3;IPI00848824.1;IPI00849946.3;IPI00849206.1;IPI00850071.1;IPI00752904.2;IPI00462244.5;IPI00849756.1;IPI00408292.2;IPI00849758.1,3.16364889e6,,,
IPI00420363.2;IPI00649370.1;IPI00649260.1,3.14999216e6,108.63,10.85,1681.36
IPI00331644.5;IPI00475256.2,2.83307002e6,9.84,0.76,8076.35
IPI00462291.5,2.36719511e6,4.48,0.41,17120.18
IPI00330958.2;IPI00336873.1;IPI00230086.2;IPI00336874.1;IPI00136573.1,3.53774138e6,19.8,1.05,5169.69
IPI00129323.1;IPI00221826.1;IPI00649438.1;IPI00474970.2,2.96529425e6,35.05,2.74,2578.66
IPI00469268.5,2.79318153e6,111.88,8.21,808.85
IPI00848859.1,2.57654511e6,,,
IPI00225066.8;IPI00474805.1;IPI00123164.2;IPI00756640.1;IPI00378518.5,2.40148599e6,,,
IPI00320016.7;IPI00471251.3;IPI00890097.1,2.39992031e6,128.2,8.62,611.7
IPI00320217.9;IPI00653274.1,3.34321808e6,182.71,14,577.48
IPI00119581.2;IPI00848611.1;IPI00330634.1,2.74961872e6,,9.87,
IPI00230035.7;IPI00134371.1,3.23633801e6,138.3,18.12,917.39
IPI00125931.1,3.10155298e6,221.34,17.34,359.33
IPI00109142.4;IPI00850487.1;IPI00461665.2,2.82015777e6,78.86,5.74,1131.11
IPI00124771.1;IPI00850430.1,2.60191532e6,231.53,17.66,300.94
IPI00277001.4,2.77136376e6,170.49,13.88,512.34
IPI00137930.1;IPI00409223.2;IPI00658474.3;IPI00849042.1;IPI00850655.1;IPI00131550.1;IPI00678117.3;IPI00663038.1;IPI00658755.3;IPI00850521.1,2.62445112e6,146.59,21.84,1551.36
IPI00119305.3;IPI00858306.1,2.50268411e6,138.24,7.75,674.16
IPI00409462.2;IPI00652895.1;IPI00849059.1;IPI00130419.1,3.40427278e6,113.7,12.68,802.79
IPI00283862.6,2.44102457e6,104.83,8.83,665.5
IPI00131407.1;IPI00757768.1;IPI00122562.3,3.45266315e6,48.21,3.87,2374.19
IPI00114491.1;IPI00894639.1;IPI00844771.2;IPI00955363.1,2.72641255e6,44.87,4.41,3328.24
IPI00553538.3,1.94985416e6,,,
IPI00320208.3;IPI00137109.2;,3.60083387e6,437.27,25.44,251.83
IPI00131845.1,2.51201514e6,146.33,12.8,486.19
IPI00319973.3,2.33314564e6,99.44,6.86,779.4
IPI00459493.5;IPI00118678.1;IPI00461023.6;IPI00880348.1,3.00091126e6,152.77,12.69,603.04
IPI00331174.5;,2.60953606e6,176.67,11.04,485.42
IPI00133200.1,3.27843115e6,1107.41,76.43,198.75
IPI00127408.3;IPI00761613.1;IPI00157462.1;IPI00474660.1;IPI00649647.1;IPI00137618.1;IPI00279631.4;IPI00380307.3;IPI00221550.1;IPI00881384.1;IPI00882113.1;IPI00856942.1,2.41671959e6,,,
IPI00122549.1;IPI00230540.1;IPI00857067.1,3.8920411e6,112.07,7.44,886.96
IPI00626385.4;IPI00421268.1;IPI00944107.1;IPI00229509.3;IPI00468273.4,2.11696297e6,115.77,10.26,548.39
IPI00408892.2;IPI00113302.1;IPI00223385.1;IPI00915509.1,2.80061721e6,169.6,17.86,685.53
IPI00314736.3;IPI00918207.1;IPI00918295.1;IPI00918185.1;IPI00468092.2,2.39036245e6,20.35,1.39,3146.4
IPI00223443.1;IPI00223444.1;IPI00759870.1,2.71360738e6,,,
IPI00117312.1,2.52566555e6,77.57,5.07,870.96
IPI00230415.5;IPI00851014.1;IPI00853793.1;IPI00230416.5;IPI00775852.1;IPI00407546.2,2.7006303e6,,16.82,
IPI00124287.1;IPI00331552.4;IPI00756383.1;IPI00830910.1,2.64759323e6,717.4,42.07,119
IPI00607069.1,2.04722018e6,,,
IPI00133903.1;IPI00880839.1,2.46587461e6,134.72,9.16,542.65
IPI00132966.3;IPI00459797.3,2.11588951e6,61.12,5.98,961.93
IPI00515257.1,2.31196449e6,98.86,8.31,1496.54
IPI00119202.1;IPI00874704.1;IPI00474051.1;IPI00469327.5,2.66121764e6,399.59,34.99,200.36
IPI00411116.4;IPI00265279.1;IPI00133481.1;IPI00808317.1,2.18389637e6,37.69,3.14,2511.18
IPI00221528.1,5.03501851e6,,,
IPI00454008.1,2.30237418e6,76.43,6.55,933.38
IPI00116277.3,2.52552319e6,101.61,9.16,721.83
IPI00119227.1;IPI00850259.1;IPI00475301.2;IPI00462940.3;IPI00407540.1,1.81696301e6,28.91,2.32,2069.79
IPI00115902.2;IPI00627049.2;IPI00850130.1;IPI00848982.1;IPI00850395.1;IPI00849676.1;IPI00277459.1,2.47973367e6,,,
IPI00224729.1;IPI00133916.2,3.32543805e6,116.8,14.61,855.46
IPI00131138.10;IPI00921658.1;IPI00875567.1;IPI00886056.1;IPI00828712.3;IPI00828770.3;IPI00387373.6;IPI00885984.1,2.47386978e6,323.62,17.72,238.97
IPI00120886.3;IPI00647981.3;IPI00131034.1;IPI00896734.1;IPI00849342.1;IPI00553286.3;IPI00623394.4;IPI00136146.5,1.97246561e6,120.28,7.31,830.23
IPI00223714.5,2.53204081e6,,,
IPI00127989.1;IPI00830960.1,2.71079945e6,49.9,4.59,1588.99
IPI00474446.4,2.29713519e6,19.96,1.58,3108.56
IPI00128904.1,2.74927536e6,154.76,19.89,692.93
IPI00121514.3,2.2353017e6,134.66,8.5,472.32
IPI00122245.2,1.84437546e6,81,5.95,1131.95
IPI00115644.2,2.15815619e6,50.91,4.31,1446.36
IPI00113845.1,2.47092972e6,119.63,8.79,555.64
IPI00110684.1,2.59941505e6,115.93,8.72,652.32
