id,pNumber,mNumber,alpha,beta
IPI00462762.2;IPI00112813.1;IPI00345617.2,34385.14,14.1,1.55,125.25
IPI00929892.1;IPI00114044.1;IPI00224294.2;IPI00653075.1,62821.9,18.35,0.96,170.15
IPI00387430.1,61891.82,86.54,7.75,13.18
IPI00620227.1;IPI00467062.2;IPI00226205.3,99533.74,105.02,5.14,80.34
IPI00135443.2,43106.74,11.13,0.72,140.26
IPI00515276.1;IPI00387384.3;IPI00648432.3;IPI00881438.1,29183.04,16.24,1.68,62.31
IPI00132580.1,37252.39,22.76,2.06,90.65
IPI00330362.5;IPI00624289.4;IPI00880706.1,27795.68,26.56,2.62,62.73
IPI00136655.1;IPI00938462.1,48602.69,4.93,0.27,287.4
IPI00875717.2;IPI00880314.1;IPI00331497.9;IPI00751005.2;IPI00928138.1;IPI00885682.1;IPI00874382.1,51819.82,19.69,1.41,94.41
IPI00762273.1;IPI00122215.1;IPI00830554.2;IPI00654057.1;IPI00831229.1,72079.47,12.82,1.3,172.96
IPI00343941.3;IPI00857201.1;IPI00856214.1;IPI00857026.1,58840.54,23.13,1.7,116.13
IPI00761959.1;IPI00515530.5,18227.98,2.5,0.32,184.81
IPI00229008.2,57770.83,,,
IPI00463909.3;IPI00655012.2;IPI00453615.3;IPI00453613.3;IPI00894831.1,33470.57,37.09,2.19,50.71
IPI00321884.1,40172.29,11.43,1.36,140.32
IPI00131778.6;IPI00882251.1;IPI00461241.1;IPI00881893.1,43205.74,11.26,1.56,163.38
IPI00331112.4;IPI00653716.1,37783.44,,,
IPI00229911.2,88241.2,29.04,2.18,286.29
IPI00553576.3;IPI00135646.1;,62412.55,11.88,1.06,148.27
IPI00153113.4;IPI00880553.1;IPI00880652.1,65516.87,7.56,0.73,286.68
IPI00845626.1;IPI00954352.1;IPI00466460.6;IPI00468606.3;IPI00845563.1;IPI00850608.1;IPI00407702.5;IPI00321347.4;IPI00649150.1;IPI00623322.2;IPI00230248.1;IPI00230249.1;IPI00757639.3;IPI00230252.1;IPI00230253.2;IPI00230250.1;IPI00880819.1,75473.16,8.74,1.18,380.8
IPI00133012.1,4464.09,21.28,1.6,260.95
IPI00133709.5;IPI00831042.1;IPI00109202.1;IPI00331347.1,64850.09,7.95,0.75,247.03
IPI00111784.1;IPI00473469.1,47235.58,14.1,0.62,135.2
IPI00855075.3;IPI00461565.1;IPI00480261.1,61450.39,13.08,1.44,134.33
IPI00113134.1;IPI00460846.1;IPI00459288.1,51227.94,,,
IPI00278462.4;IPI00923035.1;IPI00881528.1;IPI00882269.1,30767.96,6.55,1.02,251.36
IPI00132376.3,40298.61,7.99,0.65,261.59
IPI00133103.1;IPI00830363.1,64705.2,15.44,0.95,118.58
IPI00224733.3,50431.63,,,
IPI00321739.1,32625.34,25.19,3.1,48.92
IPI00387388.4;IPI00331334.3,63610.11,24.06,3.35,85.97
IPI00353237.8;IPI00855097.1;IPI00474366.1,32639.75,43.1,5.2,58.66
IPI00131850.3;IPI00454108.3,48111.75,19.92,3.78,147.83
IPI00132543.1,36086.37,5.7,0.55,176.04
IPI00122399.1,39149.84,24.82,1.4,82.52
IPI00403827.2;IPI00330773.3;IPI00856814.1;IPI00406165.2;IPI00857542.1;IPI00857729.1,46252.01,34.9,4.38,98.39
IPI00130236.4,32426.11,13.37,1.14,79.94
IPI00458894.4;IPI00875495.2;IPI00918605.1;IPI00845856.1;IPI00918205.1;IPI00918448.1;IPI00918281.1,54383.85,8.13,1.3,243.09
IPI00137459.6,33868.14,52.51,8.87,30.85
IPI00270753.2;IPI00113698.1;IPI00830575.1,60932.13,,,
IPI00118827.1,31099.18,6.8,1.11,190.5
IPI00122234.1,71241.79,5.85,0.52,413.83
IPI00120919.4;IPI00461860.3;IPI00742373.1;IPI00463572.1;,33663.7,18.26,1.67,71.56
IPI00320636.3;IPI00461924.1,50012.51,26.42,3.73,53.22
IPI00354271.4;IPI00652692.1,33854.09,19.98,1.84,133.92
IPI00470995.1;IPI00751818.1;IPI00754411.1;IPI00918547.1;IPI00918637.1,44781.72,12.27,0.82,123.41
IPI00785218.2;IPI00353010.1,46699.73,36.64,3.1,87.79
IPI00378681.6;IPI00845523.1;IPI00648709.2;IPI00845583.3;IPI00606977.3,44564.31,26.82,1.37,69.24
IPI00470001.2;IPI00605847.4;IPI00605583.1,40222.55,11.49,1.46,107.03
IPI00874854.1,38687.88,,,
IPI00133400.2;IPI00867811.1;IPI00867782.1,28581.96,18.58,2.25,290.17
IPI00171988.1;IPI00918664.1;IPI00762258.1,36497.02,8.51,0.47,185.6
IPI00124127.1;IPI00831209.1,52755.01,5.52,0.7,291.88
IPI00556827.1;IPI00265299.3;IPI00751474.1;IPI00776035.1;IPI00463589.2;IPI00621162.2;IPI00750917.2;IPI00875219.1;IPI00785299.1;IPI00664111.2;IPI00850204.1;IPI00463671.5,39099.66,15.16,1.54,82.39
IPI00881401.1;IPI00131424.3;IPI00648887.2;IPI00649655.1;IPI00649159.1,33231.57,5.41,0.62,165.25
IPI00462979.2;IPI00845809.1;IPI00845838.1;IPI00881459.1,28266.95,10.62,1.09,319.55
IPI00124027.1;IPI00856795.1;IPI00856865.1;IPI00471432.1,29179.99,,,
IPI00134918.4,39471.1,13.13,1.22,94.83
IPI00853902.1;IPI00885322.1;IPI00845596.1;IPI00885906.1;IPI00886126.1;IPI00886029.1;IPI00885671.1;IPI00665791.1,40516.69,20.48,1.62,71.03
IPI00267224.5;IPI00221840.1,60882.68,10.14,1.27,180.75
IPI00118569.1;IPI00649388.1;IPI00850311.1;IPI00230193.7,105605.76,13.24,2.27,465.94
IPI00119680.3;IPI00830310.1;IPI00229147.3;IPI00126297.3,54460.31,26.16,2.43,69.88
IPI00123617.5;IPI00108970.2;IPI00776214.1,12061.84,7.31,0.64,112.23
IPI00120767.1,63792.59,38.99,3.47,261.03
IPI00331577.5,47882.66,40.08,3.07,53.96
IPI00719971.2;IPI00122858.1;IPI00720007.1;IPI00720066.1,46425.87,21.59,2.15,86.65
IPI00131843.3;IPI00886293.1;IPI00816859.1,19518.29,9.7,1.12,63.72
IPI00462502.3;IPI00876170.1,50577.22,19.67,1.39,111.12
IPI00123276.1,96760.48,,,
IPI00109388.1;IPI00420663.2;IPI00474239.2,61052.42,8.93,1.34,185.69
IPI00125076.4,48808.8,,,
IPI00319111.3;IPI00831418.1;IPI00830621.1,48281.18,35.34,2.65,46.27
IPI00128741.1;IPI00776042.1;IPI00776086.1;IPI00112519.1,33556.84,13.01,1.07,164.3
IPI00268927.1;IPI00405542.1;IPI00457769.1;IPI00460739.3,60706.57,20.29,1.62,169.92
IPI00339885.2,52183.38,128.04,4.39,195.6
IPI00132005.1,43567.02,,,
IPI00229600.2;IPI00844664.1;IPI00655098.1,50980.24,22.54,1.22,79.42
IPI00224209.1;IPI00881310.1,43293.88,31.12,2.34,43.18
IPI00311395.1;IPI00648810.1;IPI00648527.1,45710.7,,,
IPI00387489.2;IPI00132723.3,30993.45,,,
IPI00377732.3;IPI00123976.1;IPI00227344.1,70245.31,43.27,3.99,61.23
IPI00225335.1,36538.78,14.57,1.45,396.69
IPI00121437.1;IPI00751004.2,36835.05,33.35,5.08,41.74
IPI00116929.1;IPI00473978.1;IPI00656237.1,54300.29,6.89,0.82,238.32
IPI00275512.1,48206.17,12.41,1.13,118.75
IPI00172202.1,28151.61,25.9,3.5,41.18
IPI00124610.1;IPI00885811.1,43293.6,17.62,2.8,91.65
IPI00134941.1;IPI00113248.1;IPI00850449.1,41809.11,,,
IPI00676130.1;IPI00453829.3;IPI00675092.1,55806.73,3.76,0.58,568.85
IPI00759879.2;IPI00918409.1,41654.54,9.29,0.76,149.18
IPI00353420.7;,38479.88,7.35,0.52,191.94
IPI00121575.1;,77029.53,10.48,1.07,210.25
IPI00130225.1,61015.61,16.6,1.28,115.02
IPI00458698.2;IPI00895490.1;IPI00895320.1;IPI00895194.1;IPI00895128.1,30864.31,10.53,1.27,85.91
IPI00109501.1,39197.01,6.54,0.49,204.09
IPI00113109.3;IPI00473432.3,46059.34,7.03,0.71,202.19
IPI00125509.1;IPI00856601.1;IPI00858052.1;IPI00856479.1;IPI00858288.1,37175.12,22.27,1.75,98.23
IPI00276866.1;IPI00753034.2;IPI00460675.4,41775.42,13.55,1.21,86.74
IPI00876056.1;IPI00264652.3;IPI00876427.1,21193.23,83.52,18.33,17.16
IPI00225955.1,42427.08,20.79,2.4,81.59
IPI00118948.3;IPI00387549.3,47173.49,10.45,0.95,313.99
IPI00894941.1;IPI00153176.2,112027.94,13.56,0.65,
IPI00121018.3;IPI00230639.1;IPI00653959.1;IPI00407389.1;IPI00669660.3,91328.78,44.52,3.46,64.56
IPI00755365.1;IPI00124817.1;IPI00649425.1;IPI00919102.1,25776.53,3.65,0.23,719.65
IPI00129020.1;IPI00775797.1;IPI00776093.1,22989.22,15.33,2.08,61.06
IPI00848421.1,37188.89,13.28,0.98,103.72
IPI00311948.3,86175.3,38.89,2.69,75.5
IPI00876121.1;IPI00876461.1;IPI00221876.4,44195.05,16.1,1.22,99.19
IPI00420172.1;IPI00230359.1;IPI00420171.1;IPI00420170.1,32185.84,16.57,1.52,63.88
IPI00403890.3;IPI00845696.1;IPI00881311.1;IPI00874549.1;IPI00620804.2;IPI00874566.1;IPI00655083.1;IPI00623075.3,43857.37,30.83,2.5,56.87
IPI00331074.2;IPI00880956.1,37635.21,20.37,1.75,98.45
IPI00109656.2;IPI00120571.3;IPI00889200.1,33832.18,14.83,1.65,119.04
IPI00132454.2;IPI00626555.1;IPI00857090.1;IPI00831208.1,22838.86,60.79,3.73,15.08
IPI00187512.7;IPI00648235.1,39764.15,9.36,1.23,214.14
IPI00351266.2,64243.16,15.25,1.5,216.28
IPI00113576.2;IPI00380228.5;,46725.53,36.45,3.05,98.82
IPI00122362.1,50657.98,10.72,0.67,146.4
IPI00648915.1;IPI00648676.1;IPI00648549.2;IPI00649916.1;IPI00649264.1,41095.45,15.27,1.41,140.39
IPI00881287.1;IPI00130833.3;IPI00895015.1;IPI00894966.1,69912.12,51.09,3.17,72.07
IPI00128345.2;IPI00674389.1;IPI00886222.1;IPI00886154.1,39018.6,27.4,1.5,62.46
IPI00114051.1;,39204.51,12.83,0.75,144.04
IPI00331665.3;IPI00125653.1;IPI00831696.1;IPI00649123.1,39039.87,77.06,6.43,72.48
IPI00462651.1,42984.32,18.07,2.32,78.75
IPI00109639.6;IPI00881667.1;IPI00881820.1,29679.02,31.77,3.22,40.52
IPI00109437.1;IPI00831563.1,66302.87,,,
IPI00876559.1,72527.12,,,
IPI00169840.1;,38393.43,11.72,0.98,129.92
IPI00387234.2;IPI00857798.1;IPI00856867.1,56825.51,30.47,4.53,83.34
IPI00153608.3;IPI00845842.1;IPI00828789.2;IPI00881998.1;IPI00896680.1;IPI00672144.1;IPI00226404.1;IPI00654390.2;IPI00895379.3;IPI00874691.1,35378.98,22.45,3.19,63.6
IPI00330483.1;IPI00553250.1,20475.14,12.83,2.52,95.06
IPI00515370.1;IPI00761984.1;IPI00874350.1;IPI00111235.2;IPI00405303.1,64546.57,9.58,0.93,193.95
IPI00133744.1;IPI00648625.2;IPI00473640.1;,40697.65,5.51,0.63,271.19
IPI00471127.1,40302.32,24.27,3.95,101.71
IPI00153778.5,46749.76,6.17,0.59,210.62
IPI00330146.6;IPI00761357.2,37831.5,9.99,2.2,172.13
IPI00130444.1;IPI00471392.2,38965.88,15.9,0.85,80.46
IPI00319135.4,23909.64,15.34,1.32,66.28
IPI00755200.3,91636.67,,,
IPI00109108.2;IPI00894932.1;IPI00895318.1,90394.3,73.84,4.61,52.99
IPI00224053.3;IPI00875385.1,38229.44,13.15,1.37,110.16
IPI00828514.1;IPI00130390.5;IPI00554992.2,49194.69,7.83,0.91,362.4
IPI00227678.5;IPI00857503.1;IPI00885267.1,20086.39,3.58,0.94,338.81
IPI00134572.1;IPI00309285.5,41258.78,,,
IPI00311534.5,24193.38,,,
IPI00930808.1;IPI00124677.5,22660.16,16.54,2.21,45.75
IPI00275992.3;IPI00830364.1;IPI00831347.1;IPI00830249.1;IPI00830476.1;IPI00356976.3,83298.38,37.19,4.29,36.41
IPI00890905.1;IPI00124530.1;IPI00653412.1;IPI00673016.1,34896.08,10.08,1.09,135.84
IPI00752728.2,33977.05,9.42,0.64,183.7
IPI00875068.1;IPI00262743.6;IPI00929787.1;IPI00798567.1,43638.85,35.2,2.25,44.71
IPI00928498.1;IPI00331598.2;IPI00928538.1,29422.65,28.87,3.69,76.35
IPI00850851.1,47400.49,15.71,1.17,151.08
IPI00130333.1,42548.62,7.49,0.58,176.08
IPI00113812.1;IPI00928513.1,51979.76,68.53,9.83,100.65
IPI00468996.2;IPI00110639.1,31918.06,10.92,1.56,116.84
IPI00120955.1,19319.02,18.93,2.43,45.38
IPI00153207.3;,44759.71,25.45,4.63,128.27
IPI00133958.2,27259.7,49.8,4.8,40.32
IPI00381102.7,35761.51,,,
IPI00331088.1;IPI00880914.1;IPI00551190.1,45622.44,210.03,13.35,95.48
IPI00165762.1;IPI00475221.3,28067.33,15.28,0.98,106.89
IPI00124980.1;IPI00831643.1;IPI00886408.1,41851.65,15.68,1.16,77.81
IPI00409360.3;IPI00828479.1;IPI00127558.3;IPI00404355.1,23235.15,12.99,1.1,125.89
IPI00138256.1,62718.58,8.06,0.74,243.95
IPI00110050.2;IPI00649424.2;IPI00473443.1;IPI00652038.1,40943.61,,,
IPI00139718.1;IPI00515475.1,33843.5,,,
IPI00170363.1;IPI00856216.1,35968.42,27.52,1.55,44.11
IPI00111113.6;IPI00649667.3;IPI00944005.1;IPI00649530.1;IPI00606477.4;IPI00675013.1,47483.43,17.22,2.45,136.41
IPI00420806.3;IPI00928256.1,55123.83,13.66,1.56,141.21
IPI00115660.1;IPI00408190.1;IPI00808555.2,22425.01,16.23,1.24,40.98
IPI00223154.2;IPI00877282.2;IPI00515208.1,21428.49,9.61,1.43,83.55
IPI00407829.7;IPI00649787.3;IPI00462768.1;IPI00410984.2;IPI00885641.1;,61851.25,13.14,1.96,190.07
IPI00169700.4,12332.88,16.91,2.59,34.14
IPI00122400.7;IPI00875808.1;IPI00474795.1,32002.77,14.26,2.38,108.53
IPI00874743.1;IPI00453830.2;IPI00752927.1;IPI00458059.1,48563.74,20.05,1.89,92.5
IPI00453849.3;IPI00317422.2;IPI00785256.1;IPI00856749.1,53438.92,4.72,0.45,379.32
IPI00875923.1;IPI00222393.2;IPI00653324.2;IPI00923678.1;IPI00137771.1;IPI00922960.1,25120.59,5.31,0.83,165.18
IPI00124292.1;IPI00848729.1;IPI00918701.1;IPI00918855.1;IPI00918939.1,35071.05,,,
IPI00114594.1,40419.24,16.03,1.42,125.2
IPI00943420.1;IPI00133505.1;IPI00944102.1;IPI00626449.1;IPI00944114.1;IPI00461831.1,33364.42,,,
IPI00761856.2;IPI00123006.4;IPI00830705.1;IPI00830991.1;IPI00830890.1;IPI00830791.1;IPI00918315.1;IPI00831225.1;IPI00831123.1,49356.65,17.33,1.46,109.06
IPI00330262.5;IPI00400350.1;IPI00653366.1,29059.97,16.08,2.59,94.47
IPI00136178.1;IPI00556867.3,53047.76,164.2,10.45,106.73
IPI00309195.2;IPI00177224.1;IPI00403780.1;IPI00127509.1,23276.01,6.35,0.88,198.86
IPI00118158.1,70274.85,,,
IPI00137725.2,18931.23,60.35,5.4,13.17
IPI00606388.2,37841.87,27.54,3.86,47.94
IPI00387545.1;IPI00881003.1,51633.13,34.91,2.57,97.58
IPI00471067.2;IPI00880364.1;IPI00880237.1,34510.13,7.92,0.39,275.47
IPI00134544.3;IPI00349033.1;IPI00468726.2;IPI00849524.1,29756.84,,,
IPI00322422.4;IPI00850589.1,28733.22,15.55,2.71,52.25
IPI00115492.1;IPI00759947.1,68555.74,,,
IPI00331236.4,25741.41,13.34,1.32,104.66
IPI00458175.3;IPI00626517.2;IPI00875388.1,20598.18,,,
IPI00136653.1;IPI00132607.1,31627.88,,,
IPI00314302.3,39088.35,11.02,0.83,163.54
IPI00654388.2;IPI00785324.1,26330.47,20.27,1.95,36.42
IPI00400401.1;IPI00400402.1;IPI00649483.1;IPI00649228.1,45040.77,16.71,1.34,105.54
IPI00626909.1;,50630.34,18.16,1.15,78.25
IPI00749735.1;IPI00129045.1;IPI00648905.1,26242.57,25.43,2.12,68.2
IPI00262605.6;IPI00649359.1,53241.2,26.86,1.96,176.68
IPI00130573.1;IPI00853981.1;IPI00848781.1,28987.85,15.58,0.92,214.3
IPI00625263.1;IPI00874306.1;IPI00918048.1;IPI00918304.1,36924.72,13.77,1.62,93.33
IPI00123570.3;IPI00605573.1;IPI00648078.1;IPI00944754.1;IPI00671412.2;IPI00652140.1,119754.5,4.07,0.39,
IPI00229487.1,43615.06,22.79,2.45,89.4
IPI00169888.3,29745.7,9.33,1.21,150.81
IPI00268655.2;IPI00387315.1,33899.85,15.35,1.89,335.47
IPI00113243.1,58927.42,45.34,3.53,71.51
IPI00828218.2;IPI00918225.1;IPI00134457.3;IPI00880253.1;IPI00881054.1;IPI00828751.1;IPI00310168.6;IPI00875779.2;IPI00881177.1,32435.06,42.67,4.55,50.08
IPI00131488.3;IPI00753748.1;IPI00652221.1;IPI00554907.2,48131.36,7.8,0.47,193.97
IPI00315689.3;IPI00125802.1,21887.19,12.2,1.41,66.8
IPI00121305.1;IPI00874800.1;IPI00756302.2;IPI00876174.1,29482.09,4.78,0.3,188.6
IPI00129964.1;IPI00749670.1;IPI00474065.2,29581.34,54.4,6.09,60.84
IPI00110224.1;IPI00648201.1;IPI00943415.1;IPI00122464.1;IPI00881340.1;IPI00407769.2;IPI00881052.1,38314.57,4.43,0.35,269.17
IPI00453739.1;IPI00875988.2,30252.39,4.41,0.88,
IPI00461857.2;IPI00668289.1;IPI00649721.1,37424.18,,,
IPI00119039.1;IPI00881842.1;IPI00885229.1,39696.46,19.24,1.33,61.63
IPI00116372.1;IPI00750944.1,18215.3,93.65,7.1,62.41
IPI00125266.1;IPI00831107.1;IPI00831029.1,66773.82,17.84,1.27,70.54
IPI00111953.1,15979.75,3.67,0.34,162.38
IPI00261638.1,20534.21,,,
IPI00556808.6;IPI00856745.1;IPI00120860.1,56671.54,,,
IPI00109740.3;IPI00856991.1;IPI00857818.1,21981.68,25.16,1.9,31.91
IPI00134102.1;IPI00875410.1,27038.57,11.09,1.13,76.77
IPI00381563.4,33576.47,35.87,2.9,77.91
IPI00654283.1;IPI00153134.1;IPI00853971.1,27820.32,14.82,1.46,62.6
IPI00338458.2;IPI00228952.1;IPI00856896.2;IPI00850298.1,44279.39,30.2,3.62,48.69
IPI00750617.2;IPI00788312.1;IPI00753839.1;IPI00131889.4;IPI00752162.1,27546.36,7.81,1.19,258.11
IPI00136207.6;IPI00625592.2;IPI00653059.1;IPI00153764.2,37495.09,69.24,4.9,67.17
IPI00131321.1;IPI00857302.1,15587.06,23.57,2.06,27.04
IPI00222386.3,21053.09,11.07,1.05,106.46
IPI00123333.5,34311.13,32.38,3.33,43.12
IPI00336973.2;IPI00458291.1;IPI00123092.1;IPI00880665.1,26086.51,23.46,7.77,34.22
IPI00132529.2;IPI00556820.1;IPI00556819.1;IPI00406858.1,32131.98,9.25,1.24,94.99
IPI00720003.1;IPI00112171.2;IPI00850837.1,39474.14,26.32,2.53,61.45
IPI00120744.1,32970.64,21.38,2.15,66.38
IPI00131935.1,36359.09,7.88,1.26,425.71
IPI00857233.1,65296.28,,,
IPI00406045.3,39086.75,5.84,0.46,228.44
IPI00652977.1;IPI00918340.1,8445.03,,,
IPI00395196.5,13633.03,9.45,2.52,76.31
IPI00130235.2,41090.7,5.86,0.76,194.16
IPI00153809.1,48321.4,21.15,1.01,134.16
IPI00110524.3;IPI00848762.1;IPI00624873.1;IPI00659536.1,20099.91,53.08,5.48,27.07
IPI00228590.2,19814.68,,,
IPI00624175.1;IPI00457974.2,26135.07,8.31,0.63,95.18
IPI00131231.3,36447.61,10.49,0.73,90.72
IPI00515403.1;IPI00608043.1;IPI00228457.4;IPI00607967.1;IPI00403506.2;IPI00648147.1,42709.27,32.12,4.03,84.08
IPI00880741.1;IPI00881708.1;IPI00110404.1;IPI00606576.2;IPI00881567.1;IPI00881397.1;IPI00881463.1;IPI00626423.2;IPI00349698.5,51973.93,12.69,0.81,404.37
IPI00229604.4;IPI00229282.2;IPI00131244.2;IPI00172022.2;IPI00464321.1;IPI00316348.2;IPI00133397.1;IPI00857260.1,37204.75,24.58,2.59,55.54
IPI00396812.3;IPI00648702.2,26935.24,20.99,3.5,48.06
IPI00124856.5,6361.17,13.67,2.26,40.36
IPI00396680.3;IPI00515412.2;IPI00762519.2;IPI00831142.1,28386.57,19.49,1.05,49.05
IPI00110388.2;IPI00648451.2;IPI00649158.1,16220.86,12.37,2.03,55.9
IPI00321942.4;IPI00857118.1;IPI00858093.1,31846.07,14.03,1.13,109.76
IPI00330649.4,39914.85,17.19,1.9,108.93
IPI00938448.1;IPI00116898.3;IPI00669209.1;IPI00650024.1,45433.89,31.13,3.08,102.57
IPI00120165.1,62069.1,11.06,0.98,240.11
IPI00342938.1;IPI00659877.1,28865.57,10.92,1.42,76.44
IPI00330066.5;IPI00831141.1,40157.98,14.69,1.38,96.18
IPI00117142.1;IPI00896008.1;IPI00121153.3;IPI00322530.1;IPI00469493.2;IPI00458088.1;IPI00750559.1;IPI00757439.1;IPI00354459.2,19820.62,54.14,5.14,56.66
IPI00453798.3,55550.71,,,
IPI00132946.1,14135.72,14.15,2.22,39.47
IPI00132328.2;IPI00857481.1,42587.02,11.54,2.04,181.36
IPI00468701.2;IPI00648087.1;IPI00405095.2,20522.12,11.24,1.1,115.26
IPI00469755.3;IPI00658339.3;IPI00776310.1,26458.35,21.75,2.45,46.73
IPI00677756.1,23337.34,,,
IPI00830611.1;IPI00125950.2;IPI00279931.1;IPI00858120.1,44473.63,36.02,2.64,42.68
IPI00265298.3,9878.18,17.85,2.63,60.42
IPI00318898.3;IPI00405596.1,30161.05,3.48,0.31,345.23
IPI00314316.3;IPI00124046.1,30785.58,28.33,2.72,50.43
IPI00606769.1,31898.15,,,
IPI00111343.1,43361.6,19.72,2.16,72.83
IPI00226829.2;IPI00754022.2,21160.05,8.67,0.74,70.39
IPI00318595.1;IPI00556880.1,57492.48,10.16,0.59,163.48
IPI00137302.1;IPI00399702.5,23198.25,8.92,0.84,120.94
IPI00154086.1;IPI00474943.2;IPI00857751.1;IPI00857770.1,41913.32,12.8,1.71,141.89
IPI00460063.2;IPI00856823.1;IPI00856185.1,57446.1,16.37,1.07,97.01
IPI00132424.4,30296.95,27.21,2.33,39.38
IPI00380313.3;IPI00378583.3,28836.39,25.35,4.62,109.64
IPI00230420.5;IPI00830282.1,53719.21,7.55,1.05,309.33
IPI00227669.4;IPI00277549.2;IPI00416572.1;IPI00380816.1;IPI00221739.1,22544.05,12.12,1.23,69.77
IPI00845690.1;IPI00454201.2;IPI00857487.1,39572.78,4.59,0.3,201.95
IPI00119063.2;IPI00894573.1;IPI00894826.1;IPI00894986.1,31570.55,37.05,1.52,64.98
IPI00116741.10,62011.0,22.47,1.6,92.57
IPI00222284.4;IPI00750687.1,29167.08,3.66,0.69,208.32
IPI00310627.3;IPI00649305.3,26958.91,13.04,0.97,93.44
IPI00785417.1;IPI00331533.4,46074.71,17.64,2.5,127
IPI00622783.2;IPI00665037.1,14299.4,6.87,0.52,178.56
IPI00153106.1;IPI00280683.1;IPI00652037.1,14456.94,4.82,0.54,265.96
IPI00894581.1,34480.16,,,
IPI00282957.4;IPI00867855.1;IPI00881853.1;IPI00649400.1;IPI00649975.2,23987.86,41.77,3.66,43.28
IPI00653196.1,51098.15,,,
IPI00221814.4;IPI00798442.1,34846.2,2.26,0.17,406.37
IPI00128880.3;IPI00881788.1;IPI00881124.1;IPI00463869.1,47181.55,21.32,1.85,74.73
IPI00405742.6;IPI00756275.2,30727.74,,,
IPI00463666.4;IPI00651996.1;IPI00752555.3;IPI00830720.1;IPI00830534.1;IPI00830737.1;IPI00830306.1;IPI00830845.1;IPI00848677.1,40023.35,,,
IPI00465879.2;IPI00649674.1;IPI00751742.1;IPI00752895.1;IPI00752370.1,22018.79,16.42,2.09,73.5
IPI00321895.1;IPI00648249.2;IPI00649562.1,40800.17,14.28,1.48,201.18
IPI00755238.1;IPI00117877.1,33282.5,,,
IPI00459443.5,37775.5,28.67,2.86,58.67
IPI00134747.4;IPI00136390.3;IPI00882169.1,43048.01,14.25,2.28,98.3
IPI00459086.2;IPI00881402.2;IPI00881684.1;IPI00882332.1,22678.02,3.09,0.35,227.48
IPI00120937.1;IPI00605842.1;IPI00856837.1;IPI00857447.1;IPI00153355.2,48943.74,16.79,1.1,90.27
IPI00124493.1,25673.2,9.07,1.37,90.42
IPI00896672.1;IPI00320690.1;IPI00116381.1;IPI00605377.1,44049.92,15.43,1.89,81.14
IPI00323927.2;IPI00890252.1;IPI00830425.1;IPI00403912.1;IPI00885876.1,22496.19,14.84,1.66,68.01
IPI00132314.1;IPI00654387.4;IPI00857292.1,46822.77,52.33,2.28,96.07
IPI00223987.1,40327.43,5.22,0.62,256.42
IPI00153607.1,40118.2,33.5,4.87,77.27
IPI00410936.1;IPI00652668.1,21910.77,,,
IPI00311329.1,19356.5,11.67,1.58,66.13
IPI00126943.1;IPI00403229.1;IPI00473419.1,25119.51,10.98,1.2,102.07
IPI00309200.1;IPI00850638.1,28977.49,,,
IPI00169788.1;IPI00116546.2;IPI00261299.1,109933.08,23,2,148.03
IPI00853802.1;IPI00108150.1;IPI00222833.1;IPI00652675.2,29903.26,14.78,1.22,62.84
IPI00109221.3,39292.71,,,
IPI00136618.1;IPI00886250.1;IPI00265864.3;IPI00856279.1,45157.77,,,
IPI00403586.3;IPI00473232.1;IPI00880963.1,73545.69,5.54,0.5,444.46
IPI00224697.1;IPI00654180.1;IPI00356872.3,59460.06,7.76,0.73,309.02
IPI00307931.1,26898.01,9.11,0.77,106.4
IPI00323166.2;IPI00309964.3;IPI00874685.1;IPI00875011.1;IPI00762127.2;IPI00830812.1,42348.02,,,
IPI00229295.1;IPI00229294.1;IPI00125501.1;IPI00464296.5;IPI00229299.1;IPI00229298.1;IPI00406263.2;IPI00404739.3;IPI00457456.1,34050.46,16.49,1.05,74.59
IPI00130409.1;IPI00229813.1,38249.72,,,
IPI00409176.1;IPI00230641.1;IPI00230642.1;IPI00230645.1;IPI00754820.1;IPI00230643.1;IPI00230644.1,38201.19,24.71,1.55,44.97
IPI00221817.5;IPI00880505.1;IPI00880884.1,70712.58,5.65,0.32,332.8
IPI00653398.1;IPI00754549.2;IPI00943403.1;IPI00403266.3;IPI00943452.1,55467.2,30.55,1.88,67.4
IPI00320543.5;IPI00856982.1;IPI00453497.1;IPI00885858.1;IPI00857878.1;IPI00856422.1;IPI00858131.3,47397.58,20.12,1.6,252.7
IPI00117771.1,40223.34,21.26,2.93,68
IPI00113239.1,31524.88,10.59,1.02,110.3
IPI00857497.1;IPI00896025.1;IPI00380449.3;IPI00380450.1;IPI00309761.1;IPI00856707.1,30615.73,,,
IPI00752810.1;IPI00187444.1,12613.58,,,
IPI00331260.1,39059.21,14.2,1.51,156.8
IPI00466588.3,39277.81,9.6,0.91,194.48
IPI00321331.3;IPI00850936.1;IPI00671608.3,5758.24,70.4,4.96,38.04
IPI00165881.3;IPI00128703.3,23995.63,19.56,2.09,48.32
IPI00555085.2,227789.17,,,
IPI00896604.1,26877.28,12.94,0.92,98.52
IPI00127109.4,94699.54,,,
IPI00453679.2;IPI00408556.1;IPI00857687.1,25906.34,,,
IPI00309262.3,41948.78,8.67,0.72,152.47
IPI00277519.2,27010.43,,,
IPI00411079.2;IPI00331179.5,32209.81,20.36,1.92,146.28
